1:[1S, 8C, 13D, 12H]
13:[13S, 12H, 8D, 10S]
14:[13D, 5D, 1C, 4H]
Winner: p3,8
1:[13H, 9D, 12S, 8C]
2:[2D, 2S, 8S, 12H]
3:[9H, 4S, 2H, 7H]
4:[1D, 2C, 4D, 11H]
5:[1H, 10H, 4C, 12C]
6:[5H, 6D, 7C, 6H]
7:[13D, 1S, 6S, 6C]
8:[4H, 5S, 10C, 8H]
9:[12D, 8D, 7S, 9C]
10:[13S, 9S, 3S, 3D]
11:[11S, 1C, 10S, 5D]
12:[5C, 3C, 11D, 3H]
13:[11C, 10D, 7D, 13C]
Winner: p0,6
1:[9D, 2D, 1S, 6C]
2:[7H, 10S, 5D, 1C]
3:[11C, 3H, 10D, 13H]
4:[11D, 5C, 11H, 8H]
5:[4D, 2S, 3C, 13S]
6:[8S, 12H, 13C, 4H]
7:[12C, 13D, 2H, 3D]
8:[5H, 11D, 9S, 4C]
9:[9H, 2C, 9C, 12S]
10:[10C, 10H, 3S, 11S]
11:[1D, 8C, 12D, 11H]
12:[8H, 7C, 6D, 7D]
13:[8D, 5C, 1H, 6H]
14:[6S, 7S, 5S, 4S]
tie: p1,p3,4
1:[12D, 9C, 9S, 1H]
2:[1C, 11H, 2S, 13D]
3:[11C, 5C, 1D, 6C]
4:[11D, 12C, 1S, 10C]
5:[3C, 10H, 12S, 10D]
6:[10S, 3H, 8H, 3D]
7:[13H, 2H, 9D, 6H]
8:[2C, 5D, 6S, 4S]
9:[5S, 8C, 8S, 7D]
10:[8D, 11S, 3S, 12H]
11:[9H, 8S, 7C, 5S]
12:[13C, 2D, 4C, 13S]
13:[13S, 7S, 4C, 13C]
14:[13C, 7H, 4H, 4C]
15:[7S, 8C, 7D, 4D]
16:[6D, 13S, 2D, 5H]
Winner: p0,6
1:[3C, 9D, 13D, 1D]
2:[13S, 6S, 8H, 6C]
3:[12H, 5C, 12C, 12D]
4:[3H, 4D, 12C, 8S]
5:[2S, 8D, 6D, 4S]
6:[9S, 10H, 11C, 12D]
7:[11D, 7D, 10S, 5C]
8:[13H, 1H, 1C, 10D]
9:[2H, 7S, 12S, 2C]
10:[4C, 1S, 8C, 5D]
11:[10C, 5S, 6H, 9H]
12:[12H, 5H, 11H, 3D]
13:[7C, 2D, 7H, 13C]
14:[11S, 3S, 4H, 9C]
Winner: p0,6
1:[6S, 4H, 2C, 6D]
2:[7H, 2D, 1H, 11D]
3:[5S, 10H, 6H, 8S]
4:[2C, 3C, 5C, 5H]
5:[10S, 8C, 5D, 4S]
6:[1C, 13H, 7C, 3H]
7:[4C, 1D, 6C, 9S]
8:[13C, 12D, 3D, 12S]
9:[5H, 9H, 11S, 9D]
10:[2C, 6S, 11H, 9C]
11:[7D, 4H, 11C, 8D]
12:[7S, 8H, 12C, 1S]
13:[2S, 3C, 10D, 6D]
14:[13S, 2H, 13D, 4D]
15:[3S, 10C, 12H, 5C]
Winner: p2,6
1:[6H, 6S, 9C, 11C]
2:[11S, 6D, 13C, 13D]
3:[10H, 7D, 5S, 12S]
4:[11D, 1S, 11S, 9H]
5:[7C, 3S, 10C, 13D]
6:[12C, 5C, 2D, 4C]
7:[6C, 9S, 8C, 13H]
8:[8D, 2C, 5H, 4H]
9:[10S, 13C, 2H, 11D]
10:[4D, 9D, 1C, 4S]
11:[3C, 8H, 8S, 10D]
12:[1D, 6D, 3D, 5D]
13:[12H, 13S, 1H, 9H]
14:[7S, 1S, 2S, 11S]
15:[7H, 12D, 11H, 3H]
Winner: p3,6
1:[10H, 13D, 4H, 3H]
2:[12C, 9S, 11S, 1C]
3:[10S, 13C, 10D, 6S]
4:[1D, 9D, 4D, 3S]
5:[5H, 6C, 13H, 3D]
6:[5D, 5S, 3C, 12H]
7:[4S, 12S, 8H, 7S]
8:[7D, 1H, 12D, 7C]
9:[8S, 1S, 5C, 13S]
10:[6H, 4C, 7H, 6D]
11:[8D, 8C, 11H, 11C]
12:[10C, 11C, 9C, 2S]
13:[2D, 8D, 11D, 2H]
14:[11H, 8C, 9H, 2C]
Winner: p1,5
1:[6S, 13C, 5C, 8D]
2:[1H, 12D, 12H, 3C]
3:[8C, 1S, 2D, 7S]
4:[8H, 7D, 9C, 5H]
5:[1H, 3D, 9H, 3H]
6:[2H, 12H, 13D, 11S]
7:[11H, 1C, 4H, 6C]
8:[10H, 6D, 4D, 4S]
9:[1D, 13H, 2S, 3S]
10:[10S, 12C, 12D, 6H]
11:[11C, 7H, 12D, 13S]
12:[10S, 9S, 5S, 10D]
13:[10D, 6H, 3C, 7C]
14:[10S, 12S, 9D, 5S]
15:[11D, 4C, 10C, 2C]
16:[5D, 12C, 9S, 8S]
Winner: p0,5
1:[2C, 6D, 11H, 5S]
2:[6H, 3S, 4D, 13H]
3:[6S, 9H, 4C, 11C]
4:[7C, 8C, 10H, 10C]
5:[11S, 5H, 9S, 3H]
6:[12C, 1S, 7D, 10H]
7:[4S, 5D, 10C, 13D]
8:[8D, 12S, 10S, 13C]
9:[1H, 6C, 9D, 8S]
10:[4H, 5C, 12D, 9C]
11:[2S, 1C, 7S, 13S]
12:[12H, 11D, 3D, 8H]
13:[2H, 10D, 8C, 2D]
14:[1D, 7H, 7C, 3C]
Winner: p3,5
1:[10H, 10S, 7C, 8H]
2:[4D, 4S, 11D, 7D]
3:[9D, 5H, 10D, 13S]
4:[2S, 4H, 8D, 8S]
5:[7C, 11C, 13H, 3S]
6:[1S, 2S, 10H, 12S]
7:[3H, 6C, 7H, 9H]
8:[4C, 11H, 1C, 6S]
9:[8S, 1H, 7S, 12D]
10:[12H, 3D, 8H, 10C]
11:[6D, 3C, 9S, 6H]
12:[4H, 12C, 2D, 8C]
13:[11S, 1D, 5C, 5D]
14:[13D, 8D, 2C, 9C]
15:[5S, 10S, 13C, 2H]
tie: p2,p3,4
1:[3D, 7H, 5H, 7D]
2:[8H, 7D, 13C, 1D]
3:[3H, 11C, 4C, 11D]
4:[2S, 13S, 11D, 3C]
5:[12S, 10H, 6H, 4H]
6:[9C, 4D, 3H, 11H]
7:[4C, 6S, 7C, 9S]
8:[8D, 3S, 7S, 10S]
9:[6C, 13D, 12H, 2C]
10:[10D, 5D, 6D, 12D]
11:[5H, 4S, 9H, 2D]
12:[7H, 9D, 12C, 10C]
13:[5C, 11S, 13H, 8S]
14:[11C, 3D, 2H, 5S]
15:[1C, 8C, 1S, 1H]
tie: p2,p3,4
1:[13H, 6D, 5H, 8D]
2:[8C, 8H, 10D, 3H]
3:[10H, 6S, 13D, 7C]
4:[12H, 7H, 7D, 2S]
5:[6C, 2D, 11D, 5S]
6:[5D, 4H, 3C, 3S]
7:[2H, 11H, 4C, 11C]
8:[13C, 9S, 3D, 11S]
9:[7S, 1C, 9H, 9D]
10:[4D, 2C, 12S, 8S]
11:[10S, 2H, 12D, 6H]
12:[5C, 12C, 4S, 4C]
13:[1H, 13S, 11C, 7S]
14:[1C, 9D, 1S, 1D]
15:[9H, 10C, 11H, 9C]
Winner: p2,6
1:[10D, 11S, 5C, 6D]
2:[8H, 10S, 2C, 12S]
3:[2S, 3S, 2H, 10H]
4:[4S, 7S, 7D, 12D]
5:[12C, 6C, 1D, 6H]
6:[8S, 4C, 2D, 1H]
7:[9S, 7H, 5D, 3D]
8:[8C, 11H, 3C, 5S]
9:[1S, 9D, 13S, 4D]
10:[11D, 10C, 1C, 7C]
11:[9C, 12H, 11C, 8D]
12:[4H, 9H, 13H, 13C]
13:[3H, 6S, 5H, 13D]
tie: p0,p3,4
1:[4C, 12S, 6H, 8H]
2:[2S, 7H, 13H, 5C]
3:[8C, 13C, 10D, 9C]
4:[5H, 3H, 1S, 6D]
5:[12D, 7S, 10C, 3D]
6:[7D, 13S, 4D, 1H]
7:[11H, 3S, 13D, 4S]
8:[11D, 10H, 2H, 7C]
9:[11C, 5S, 8S, 12C]
10:[9D, 6C, 9H, 5D]
11:[6C, 5D, 4H, 3C]
12:[2D, 9S, 1C, 12H]
13:[6S, 10S, 8D, 11S]
14:[2C, 9D, 1D, 9H]
Winner: p3,4
1:[13H, 11S, 10C, 5C]
2:[4S, 4C, 13C, 4H]
3:[11C, 5S, 6D, 13D]
4:[12S, 1C, 8H, 7D]
5:[10D, 3D, 11D, 1D]
6:[5H, 11H, 2H, 3C]
7:[9C, 8C, 3S, 8S]
8:[2S, 12C, 6H, 6C]
9:[7H, 4D, 9D, 12D]
10:[1S, 3H, 5D, 7S]
11:[2C, 7C, 1H, 6S]
12:[12H, 13S, 9H, 9S]
13:[10S, 2D, 8D, 10H]
Winner: p1,4
1:[5C, 6H, 9D, 1D]
2:[6C, 6D, 7D, 10H]
3:[6S, 9S, 10S, 10C]
4:[7S, 11S, 8C, 12S]
5:[13C, 4H, 13H, 2H]
6:[13S, 12C, 8H, 13D]
7:[5S, 4H, 11C, 2H]
8:[13H, 13C, 11H, 4C]
9:[3S, 10D, 12C, 12H]
10:[9C, 10S, 1H, 5D]
11:[12D, 13H, 5H, 11H]
12:[3H, 3C, 12C, 9S]
13:[2D, 10D, 13C, 4S]
14:[3S, 4C, 10C, 1S]
15:[12H, 8H, 7H, 8S]
16:[1C, 7C, 6S, 2S]
17:[3D, 13D, 2C, 13S]
18:[4D, 8D, 9H, 11D]
Winner: p2,5
1:[2H, 11D, 6D, 7H]
2:[7D, 1C, 11C, 12H]
3:[12S, 13S, 11S, 10H]
4:[6C, 9H, 13H, 10D]
5:[2S, 3H, 4D, 6H]
6:[1H, 4C, 6S, 11H]
7:[13D, 2D, 8C, 7S]
8:[13C, 9C, 8D, 9D]
9:[1S, 10C, 3D, 12D]
10:[7C, 3S, 5C, 8S]
11:[8H, 1D, 5H, 4S]
12:[4H, 2C, 9S, 5D]
13:[5S, 3C, 10S, 12C]
Winner: p3,6
1:[5D, 5H, 4C, 6C]
2:[3H, 12H, 6D, 2S]
3:[10H, 6S, 10C, 11H]
4:[8H, 1C, 12D, 3S]
5:[7D, 9H, 7H, 7S]
6:[13H, 1S, 13C, 3D]
7:[5S, 13H, 8S, 4D]
8:[4S, 1D, 2H, 11C]
9:[9D, 8C, 11D, 5C]
10:[4H, 1S, 3D, 10D]
11:[11S, 6H, 13S, 13C]
12:[8D, 7C, 12S, 3C]
13:[6H, 12C, 9S, 11S]
14:[2C, 13C, 13S, 13D]
15:[9C, 2D, 10S, 1H]
tie: p1,p2, p3,4
1:[2C, 10S, 11D, 9C]
2:[7D, 4D, 8D, 10C]
3:[7S, 3S, 9H, 6C]
4:[12D, 8S, 10H, 5C]
5:[10D, 3H, 6D, 5D]
6:[7C, 8C, 6H, 9S]
7:[4H, 12S, 5H, 2H]
8:[3C, 3D, 9D, 12H]
9:[5S, 1H, 12C, 11C]
10:[13S, 13D, 1D, 1S]
11:[6S, 7H, 13H, 13S]
12:[13D, 8H, 2D, 4S]
13:[11H, 1C, 1D, 1S]
14:[13C, 7H, 13H, 6S]
15:[2S, 13S, 11S, 4C]
Winner: p0,4
1:[2S, 1D, 10H, 13C]
2:[3C, 4D, 7H, 11C]
3:[11D, 13D, 12S, 8H]
4:[3S, 5D, 10D, 12D]
5:[11H, 7C, 6H, 10S]
6:[8S, 1C, 13H, 2C]
7:[9S, 11S, 7S, 8C]
8:[4H, 10C, 4C, 5C]
9:[1H, 7D, 2H, 6C]
10:[8D, 13S, 12H, 3H]
11:[3D, 4S, 5S, 6D]
12:[9H, 1S, 9C, 5H]
13:[9D, 12C, 6S, 2D]
Winner: p1,6
1:[1D, 9H, 2H, 7H]
2:[4H, 3D, 7D, 6C]
3:[2C, 13D, 8S, 12S]
4:[9S, 12H, 4D, 7S]
5:[11C, 2S, 3S, 8C]
6:[6D, 6H, 11H, 3H]
7:[8H, 4S, 12D, 11S]
8:[11D, 8D, 5H, 13H]
9:[6S, 2D, 5S, 10C]
10:[10S, 10H, 10D, 13C]
11:[9C, 13S, 5D, 3C]
12:[4C, 9D, 1H, 1S]
13:[1C, 5C, 12C, 7C]
Winner: p1,5
1:[4S, 13H, 9C, 12S]
2:[6S, 8C, 13S, 4C]
3:[1C, 4H, 3H, 10C]
4:[3D, 8S, 9H, 5C]
5:[1S, 11S, 5D, 11C]
6:[8D, 9D, 4D, 2S]
7:[8H, 2H, 3C, 10S]
8:[1S, 12D, 7S, 1D]
9:[3S, 1H, 6C, 6D]
10:[10D, 11D, 5H, 10H]
11:[5D, 13C, 11S, 7D]
12:[1H, 9S, 2D, 7H]
13:[3S, 13D, 6H, 11H]
14:[5S, 12H, 12C, 6C]
15:[7C, 2C, 6D, 11C]
Winner: p1,7
1:[1C, 4D, 8S, 12H]
2:[7H, 4C, 6D, 5S]
3:[10S, 7D, 12S, 2S]
4:[9S, 9H, 8C, 4S]
5:[3S, 3H, 4S, 12C]
6:[8D, 6H, 9C, 11C]
7:[2C, 13D, 10D, 13H]
8:[5H, 10D, 10C, 2H]
9:[13D, 10D, 11S, 12D]
10:[9D, 8H, 5C, 13S]
11:[3C, 11H, 9H, 1D]
12:[2D, 5H, 7S, 6C]
13:[13C, 10H, 1H, 2C]
14:[8C, 7C, 1S, 3D]
15:[11D, 9S, 13H, 4H]
16:[5D, 10C, 2H, 6S]
tie: p0,p3,4
1:[12C, 8S, 6D, 4D]
2:[9H, 3C, 5D, 1C]
3:[9D, 1D, 6H, 13S]
4:[7H, 8D, 10D, 9S]
5:[11H, 13H, 4C, 1H]
6:[13C, 9C, 13D, 3D]
7:[10S, 12D, 3D, 7D]
8:[2D, 5S, 9C, 6S]
9:[7S, 2S, 2C, 7C]
10:[8C, 7C, 11S, 2S]
11:[11C, 5C, 12H, 12S]
12:[7S, 13D, 1S, 5H]
13:[3S, 10H, 10C, 5C]
14:[2C, 13C, 11D, 6C]
15:[10C, 3S, 11C, 2H]
16:[5C, 4H, 12S, 12H]
17:[4S, 10H, 3H, 8H]
Winner: p1,5
1:[13S, 12H, 8H, 5S]
2:[9D, 1S, 6S, 12S]
3:[5H, 8C, 10D, 10S]
4:[8C, 5D, 7D, 1C]
5:[10D, 13D, 9S, 1H]
6:[13H, 6D, 3H, 2D]
7:[3S, 10H, 8S, 4C]
8:[4D, 8D, 11S, 3D]
9:[3C, 4S, 13C, 11C]
10:[2C, 1D, 10S, 12D]
11:[10C, 6H, 7S, 12C]
12:[7H, 11H, 9C, 5C]
13:[6C, 2H, 4H, 5H]
14:[7C, 2S, 11D, 9H]
Winner: p0,4
1:[4H, 12H, 5S, 8C]
2:[8S, 1C, 3D, 8H]
3:[13S, 12C, 13C, 13H]
4:[12S, 5D, 6S, 12C]
5:[13C, 8H, 1C, 4D]
6:[11H, 7H, 3H, 12D]
7:[11S, 2D, 6H, 11C]
8:[4S, 10C, 11C, 6C]
9:[7D, 13S, 13H, 9S]
10:[12S, 11S, 11D, 5H]
11:[10H, 7D, 3D, 13H]
12:[2H, 1S, 4C, 8S]
13:[3S, 9D, 2C, 3C]
14:[8D, 10D, 6S, 6D]
15:[5C, 9S, 7C, 5D]
16:[2S, 1D, 13D, 1H]
17:[13S, 6H, 2D, 9C]
18:[12C, 10S, 7S, 9H]
tie: p0,p1,4
1:[13D, 2D, 4C, 10C]
2:[7C, 9S, 8H, 2H]
3:[12S, 8S, 5C, 3D]
4:[2S, 3H, 6S, 1C]
5:[13H, 11D, 5S, 6D]
6:[11H, 7D, 4H, 10S]
7:[4D, 3C, 1H, 11C]
8:[5H, 1S, 1D, 2C]
9:[8D, 4S, 12D, 3S]
10:[9C, 9H, 11S, 13S]
11:[7S, 12H, 5D, 10H]
12:[13C, 6C, 10D, 8C]
13:[6H, 9D, 7H, 12C]
Winner: p0,6
1:[5D, 13S, 8D, 3S]
2:[13H, 6S, 11S, 8S]
3:[3H, 6H, 2S, 4C]
4:[12S, 10D, 7D, 12C]
5:[6C, 9C, 3D, 13D]
6:[11D, 2C, 7D, 12S]
7:[5S, 11H, 5C, 7H]
8:[12H, 3C, 4D, 10S]
9:[10C, 1H, 10H, 1S]
10:[13C, 9H, 1H, 5H]
11:[12C, 1S, 1C, 12D]
12:[4H, 2H, 8C, 10C]
13:[11C, 10D, 7S, 12C]
14:[9S, 6D, 12D, 8H]
15:[4S, 2D, 1C, 7C]
16:[1D, 10H, 1S, 9D]
Winner: p3,5
1:[6S, 12S, 8D, 1S]
2:[13H, 7H, 10C, 4C]
3:[11C, 12C, 9H, 13C]
4:[1H, 5H, 8S, 9S]
5:[7S, 11H, 4D, 6D]
6:[5D, 3D, 2C, 9C]
7:[2H, 5S, 8H, 10S]
8:[7C, 9D, 7D, 13S]
9:[11S, 3H, 12D, 3S]
10:[8C, 2S, 2D, 10D]
11:[6C, 4S, 11D, 10H]
12:[12H, 4H, 13D, 5C]
13:[1C, 3C, 1D, 6H]
Winner: p3,7
1:[1S, 5C, 12S, 4S]
2:[4D, 3S, 8S, 3D]
3:[6D, 3H, 4H, 7C]
4:[9H, 12C, 2H, 5H]
5:[12H, 7S, 5D, 6S]
6:[1H, 12D, 13S, 2D]
7:[10H, 8H, 11H, 10C]
8:[13D, 13H, 2S, 13C]
9:[13H, 6H, 9D, 5S]
10:[11D, 11S, 9S, 8D]
11:[10S, 9C, 11C, 11D]
12:[3C, 8D, 1C, 11C]
13:[8C, 4C, 11S, 7H]
14:[6C, 13C, 2S, 10D]
15:[9S, 1D, 11D, 7D]
16:[10S, 9C, 13D, 2C]
Winner: p2,7
1:[3S, 2S, 11D, 9C]
2:[2C, 4S, 8S, 1H]
3:[5C, 2D, 8C, 10H]
4:[4H, 5H, 9S, 12C]
5:[7D, 11H, 7H, 6H]
6:[2H, 12H, 6D, 11C]
7:[6C, 5D, 11S, 1D]
8:[13S, 9D, 3C, 7C]
9:[4D, 6S, 3D, 10S]
10:[13H, 1S, 8D, 7S]
11:[4C, 1C, 13C, 3H]
12:[5S, 13D, 10C, 10D]
13:[12D, 8H, 12S, 9H]
Winner: p2,4
1:[12D, 2D, 2H, 6C]
2:[1S, 5S, 8C, 3D]
3:[12C, 6S, 12H, 2C]
4:[5C, 9D, 13D, 11H]
5:[3S, 6S, 4D, 4C]
6:[7S, 1D, 8S, 4H]
7:[3C, 13S, 9C, 7C]
8:[2S, 12H, 10C, 3H]
9:[1H, 11D, 10H, 10S]
10:[9S, 8H, 10D, 6H]
11:[6D, 9H, 1C, 4S]
12:[5D, 7H, 5H, 8D]
13:[13C, 12S, 11C, 2C]
14:[7D, 12C, 11S, 13H]
Winner: p1,5
1:[9D, 10H, 1H, 6S]
2:[13D, 8C, 11D, 13C]
3:[3C, 9S, 6C, 8C]
4:[1D, 5C, 5D, 10C]
5:[8H, 3S, 7D, 4D]
6:[11H, 10D, 9C, 8D]
7:[4H, 9H, 12C, 12S]
8:[7S, 11S, 6H, 7C]
9:[13S, 7H, 4C, 1C]
10:[13H, 11C, 9H, 4H]
11:[12S, 3H, 13D, 4S]
12:[11D, 2D, 6D, 12C]
13:[13C, 2S, 12H, 2C]
14:[2H, 10S, 8S, 3D]
15:[5S, 12D, 5H, 1S]
tie: p0,p1,5
1:[5S, 6S, 2D, 3H]
2:[13H, 7C, 11S, 6C]
3:[10C, 4S, 3S, 5D]
4:[4H, 3C, 6H, 9D]
5:[9H, 10D, 7D, 11C]
6:[8C, 6D, 8S, 12S]
7:[12C, 9S, 2H, 2C]
8:[13D, 11H, 9C, 7S]
9:[1H, 5H, 4D, 1S]
10:[10H, 2S, 13S, 1D]
11:[13C, 1C, 7H, 8H]
12:[11D, 5C, 3D, 4C]
13:[12H, 8D, 10S, 12D]
Winner: p0,6
1:[12H, 1H, 10D, 11S]
2:[4D, 13D, 2H, 9H]
3:[12S, 3S, 11D, 3D]
4:[6S, 8D, 7D, 5D]
5:[11C, 4H, 1C, 9S]
6:[2D, 6H, 7S, 9C]
7:[4S, 7H, 2S, 8C]
8:[13C, 6C, 3C, 12C]
9:[8S, 4C, 12D, 6D]
10:[13S, 10S, 9D, 5C]
11:[2C, 10C, 3H, 10H]
12:[2C, 7C, 5S, 8H]
13:[10H, 5H, 1S, 3H]
14:[10C, 1D, 13H, 11H]
Winner: p0,6
1:[11H, 4D, 10S, 4H]
2:[8H, 11D, 4S, 8S]
3:[10H, 11C, 2D, 10C]
4:[13S, 12D, 6D, 5H]
5:[12S, 12H, 6S, 7S]
6:[9C, 6S, 5C, 7H]
7:[3H, 5D, 13H, 7S]
8:[1C, 4C, 3C, 2C]
9:[12H, 13C, 10D, 11S]
10:[12S, 1H, 1S, 2H]
11:[9S, 1D, 3D, 2S]
12:[7C, 8C, 13D, 7D]
13:[8D, 5S, 6H, 9H]
14:[6C, 9D, 12C, 3S]
Winner: p0,5
1:[2C, 3S, 4D, 11C]
2:[4C, 2H, 9S, 3D]
3:[8D, 9C, 5D, 11D]
4:[13D, 5C, 3H, 7H]
5:[13H, 5H, 2D, 7S]
6:[7C, 8C, 7D, 4S]
7:[5S, 12H, 10D, 6D]
8:[9H, 6C, 11H, 8S]
9:[1S, 8H, 2S, 13S]
10:[3C, 10S, 12C, 13C]
11:[12D, 11S, 6S, 4H]
12:[1H, 12S, 1D, 10C]
13:[1C, 10H, 9D, 6H]
tie: p1,p3,4
1:[1D, 6H, 11S, 12D]
2:[7H, 8S, 9S, 4D]
3:[13H, 2H, 10S, 10H]
4:[2C, 5D, 5C, 5S]
5:[7D, 13S, 2D, 8C]
6:[1S, 9D, 3S, 2C]
7:[12S, 5C, 13D, 9H]
8:[11H, 4H, 12C, 5D]
9:[3H, 8D, 5S, 10C]
10:[11C, 3C, 1H, 7S]
11:[4S, 13C, 3D, 7C]
12:[11D, 6D, 2S, 1C]
13:[10D, 12H, 9C, 6S]
14:[4C, 6C, 5H, 8H]
Winner: p1,4
1:[3H, 12H, 4C, 10S]
2:[1H, 12D, 13S, 11H]
3:[11C, 11S, 6S, 10D]
4:[9D, 2D, 7S, 9S]
5:[12S, 10H, 4D, 2S]
6:[1C, 6S, 12C, 8D]
7:[11D, 3C, 6H, 10C]
8:[3D, 8S, 6D, 11S]
9:[5S, 2D, 7C, 7H]
10:[8C, 3S, 2C, 5D]
11:[13D, 2D, 8H, 4S]
12:[7D, 7C, 9D, 7S]
13:[5C, 1S, 5S, 9C]
14:[1D, 5H, 2H, 11C]
15:[4H, 10D, 7H, 13H]
16:[13C, 9S, 9H, 6C]
Winner: p0,5
1:[4D, 6C, 12H, 13S]
2:[12D, 3D, 8H, 7C]
3:[5S, 1D, 7S, 10C]
4:[5H, 13H, 12C, 3C]
5:[8S, 1C, 2D, 11C]
6:[11H, 4C, 13D, 9C]
7:[5D, 8C, 9H, 2C]
8:[10D, 7D, 6S, 3S]
9:[13C, 5C, 10S, 1H]
10:[9S, 10H, 4H, 9D]
11:[6D, 7H, 11D, 1S]
12:[8D, 2H, 11S, 6H]
13:[3H, 4S, 12S, 2S]
Winner: p2,5
1:[1H, 3C, 11S, 1C]
2:[9D, 10C, 10H, 5C]
3:[4C, 2S, 13S, 11H]
4:[5D, 10S, 5H, 13D]
5:[5C, 2C, 4H, 7D]
6:[8H, 5S, 4S, 7H]
7:[8C, 11D, 11C, 6C]
8:[9D, 3S, 11C, 10H]
9:[6D, 8C, 7S, 10C]
10:[2H, 6H, 13H, 9S]
11:[13C, 12C, 1D, 6S]
12:[12H, 4D, 9H, 11D]
13:[8S, 12S, 10D, 6C]
14:[3H, 3D, 12D, 9C]
15:[7C, 8D, 1S, 2D]
Winner: p2,5
1:[5H, 4D, 9D, 11S]
2:[4C, 12C, 2D, 11D]
